ID;Row;Term;Lang;Rules;Severity;Decision;Final FR;Final NL;Final EN;Comment;Current;Proposed
F-010;3;Asserter;EN;7, 8;major;revise;;;person who reports the information recorded in the CareSet;Reviewer's variant, same reading as F-008/F-009. The examples still move out of the definition into the Description column as proposed.;The person who is the source of the information (e.g., the patient, general practitioner, a relative, the professional recording the information themselves, ...);person who is the source of the information recorded in the CareSet
F-011;4;Author;META;8, 10;major;accept;;;;"Delete and replace, per the reviewer. The copied Asserter block goes; in its place a note on how the Author is identified (NISS / BIS / NIHDI number), parallel to what Performer's Description already carries.";Toutefois, lorsqu'il s'agit d'un parent ou proche, seul le rôle sera encodé (ex : père, mère, voisin, aidant-proche, ami, …) pour répondre aux exigences RGPD. […] on utilisera le ValueSet « VS_PatientRelationshipType » […];Delete the copied block from Author's Description. If a note is needed there, describe how the Author is identified (NISS / BIS / NIHDI number), as `Performer` does.
F-012;4;Author;META;6, 10;major;revise;;;;"Reviewer's ruling: one concept, and the main term is Recorder with Author kept as its synonym - the reverse of row 4 today. So the rule-6 objection falls away: entering the data and being responsible for it are two characteristics of one role, not two concepts, and the definition may carry both. Knock-ons: RecordedDate must name the Recorder, not 'l'Author ou le Recorder'; the three GlossaryCode=Author rows in glossary_mappings.csv (vaccination, allergyintolerance, BeModelProblem, all on element 'recorder') must become Recorder; and ClinicalGlossary.csv row 4 swaps Term and Synonym.";Author — Synonym: Recorder;Decide which it is. If they are distinct (the person who enters the data vs. the person who owns the content), add a `Recorder` entry and drop the synonym. The Author and RecordedDate proposals below assume that reading.
F-013;4;Author;FR;3, 6;major;revise;professionnel de la santé qui enregistre le contenu du CareSet et en assume la responsabilité;;;Reviewer's variant, following the F-012 ruling that Recorder/Author is one concept: both characteristics are kept - recording the content and being responsible for it - and only the circular repetition is removed.;le professionnel de la santé qui encode et prend la responsabilité du contenu encodé.;professionnel de la santé qui assume la responsabilité du contenu enregistré dans le CareSet
F-014;4;Author;NL;3, 6;major;revise;;zorgverlener die de inhoud van de CareSet vastlegt en er de verantwoordelijkheid voor draagt;;Reviewer's variant, following the F-012 ruling that Recorder/Author is one concept: both characteristics are kept - recording the content and being responsible for it - and only the circular repetition is removed.;de zorgverlener die de gegevens invoert en de verantwoordelijkheid draagt voor de ingevoerde inhoud.;zorgverlener die de verantwoordelijkheid draagt voor de in de CareSet geregistreerde inhoud
F-015;4;Author;EN;10;minor;revise;;;healthcare professional who records the content of the CareSet and takes responsibility for it;Reviewer's variant, following the F-012 ruling that Recorder/Author is one concept: both characteristics are kept - recording the content and being responsible for it - and only the circular repetition is removed.;The healthcare professional who takes responsibility for the recorded content;healthcare professional who takes responsibility for the content recorded in the CareSet
F-016;5;BodyLaterality;FR;3, 4;major;accept;;;;;la latéralité du corps .;côté du corps auquel se rapporte l'information enregistrée
F-017;5;BodyLaterality;NL;3, 9, 10;major;accept;;;;;de zijdelingse oriëntatie van het lichaam;zijde van het lichaam waarop de geregistreerde informatie betrekking heeft
F-018;5;BodyLaterality;EN;1, 3, 7;major;accept;;;;;Specifies the body laterality (right, left, both);side of the body to which the recorded information refers
F-019;6;BodyLocation;FR;3, 4, 8;major;accept;;;;;l'endroit du corps.;partie du corps à laquelle se rapporte l'information enregistrée
F-020;6;BodyLocation;NL;3, 4, 8;major;accept;;;;;het lichaamsdeel;lichaamsdeel waarop de geregistreerde informatie betrekking heeft
F-021;6;BodyLocation;EN;1, 3, 7;major;accept;;;;;Indicates the body location (head, leg, femur, heart, ...);part of the body to which the recorded information refers
F-022;7;BodyTopoGraphy;META;10;minor;accept;;;;Confirmed by the reviewer. `bodyTopography` is also how the element is spelled in StructureDefinition-BeModelBodySite.json, so the sheet is the outlier.;BodyTopoGraphy;Rename the item to `BodyTopography`.
F-023;7;BodyTopoGraphy;FR;6, 8, 10;major;revise;position relative, à l'intérieur de la partie du corps concernée, du siège de l'information enregistrée;;;Reviewer's variant: same split as proposed, but phrased without the word 'structure', so the definition does not imply an anatomical structure is always what is being located.;La localisation ou la position relative sur l'endroit corps;position relative d'une structure à l'intérieur de la partie du corps concernée
F-024;7;BodyTopoGraphy;NL;6, 8, 10;major;revise;;relatieve positie, binnen het betrokken lichaamsdeel, van de plaats waarop de geregistreerde informatie betrekking heeft;;Reviewer's variant: same split as proposed, but phrased without the word 'structure', so the definition does not imply an anatomical structure is always what is being located.;De locatie of de relatieve positie op het lichaam,;relatieve positie van een structuur binnen het betrokken lichaamsdeel
F-025;7;BodyTopoGraphy;EN;1, 6, 7;major;revise;;;relative position, within the body part concerned, of the site to which the recorded information refers;Reviewer's variant: same split as proposed, but phrased without the word 'structure', so the definition does not imply an anatomical structure is always what is being located.;Describes the location or relative position on the body, such as superior/inferior, medial/lateral or internal/external;relative position of a structure within the body part concerned
F-026;8;Business Identifier;META;6, 8;major;revise;;;;"Reviewer's ruling: there can be many identifiers, each unique within its own space. Max = * stays; the definition drops the bare claim of uniqueness and states the scope in which each identifier is unique, which is what resolves the contradiction.";Definition: « Identifiant métier unique » · Suggested Max: * · Description: « dans certains cas, plusieurs identifiants seront permit »;Keep `Max = *` and let the definition say what each identifier does — designate one instance unambiguously — rather than how many there may be. See the FR/NL findings for this row.
F-027;8;Business Identifier;FR;3, 8;major;revise;identifiant qui désigne une instance de CareSet et qui est unique dans l'espace de nommage du système qui l'attribue;;;"Reviewer's ruling: there can be many identifiers, each unique within its own space. Max = * stays; the definition drops the bare claim of uniqueness and states the scope in which each identifier is unique, which is what resolves the contradiction.";Identifiant métier unique d'une instance du CareSet.;identifiant attribué par le système source pour désigner sans ambiguïté une instance de CareSet dans son contexte métier
F-028;8;Business Identifier;NL;3, 8, 9;major;revise;;identificatie die een CareSet-instantie aanduidt en uniek is binnen de naamruimte van het systeem dat haar toekent;;"Reviewer's ruling: there can be many identifiers, each unique within its own space. Max = * stays; the definition drops the bare claim of uniqueness and states the scope in which each identifier is unique, which is what resolves the contradiction.";Unieke functie-ID van een instantie van de CareSet.;identificatie die door het bronsysteem wordt toegekend om een CareSet-instantie ondubbelzinnig aan te duiden binnen haar functionele context
F-029;8;Business Identifier;EN;;missing;revise;;;identifier that designates a CareSet instance and is unique within the namespace of the system that assigns it;"Reviewer's ruling: there can be many identifiers, each unique within its own space. Max = * stays; the definition drops the bare claim of uniqueness and states the scope in which each identifier is unique, which is what resolves the contradiction.";;identifier assigned by the source system to designate one CareSet instance unambiguously within its business context
F-030;9;Category;FR;1, 7, 8;major;accept;;;;"Reviewer's ruling: the classification reading is the real one, so EN moves onto it. Proposals taken as drafted; the ValueSet and 'modèle logique belge' material moves to the Description column.";Un attribut de classification d’un élément de données dans un CareSet, défini par une ValueSet standardisée, permettant de regrouper les informations selon leur signification clinique ou fonctionnelle dans le modèle logique belge;attribut classant un élément de données selon sa signification clinique ou fonctionnelle, permettant d'en regrouper les occurrences
F-031;9;Category;NL;1, 7, 8;major;accept;;;;"Reviewer's ruling: the classification reading is the real one, so EN moves onto it. Proposals taken as drafted; the ValueSet and 'modèle logique belge' material moves to the Description column.";Een classificatieattribuut van een gegevenselement in een CareSet, gedefinieerd door een gestandaardiseerde ValueSet, waarmee informatie kan worden gegroepeerd op basis van de klinische of functionele betekenis ervan in het Belgische logische model;attribuut dat een gegevenselement indeelt naar zijn klinische of functionele betekenis, waardoor de voorkomens ervan gegroepeerd kunnen worden
F-032;9;Category;EN;8, 10;major;accept;;;;"Reviewer's ruling: the classification reading is the real one, so EN moves onto it. Proposals taken as drafted; the ValueSet and 'modèle logique belge' material moves to the Description column.";Element that specifies the context of use of the information;attribute classifying a data element by its clinical or functional meaning, allowing its occurrences to be grouped
F-033;10;ClinicalStatus;FR;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Indique le statut de la pertinance clinique;état rendant compte de l'actualité clinique de l'information enregistrée
F-034;10;ClinicalStatus;NL;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Geeft de status van de klinische relevantie aan;toestand die de klinische actualiteit van de geregistreerde informatie weergeeft
F-035;10;ClinicalStatus;EN;1, 3, 7;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Indicates the clinical relevance status. E.g., active, inactive, completed, entered-in-error;state expressing the clinical currency of the recorded information
F-036;11;Code;FR;1, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Décrit le concept clinique de l'information partagée;valeur codée désignant le concept clinique auquel se rapporte l'information enregistrée
F-037;11;Code;NL;1, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Beschrijft het klinische concept van gedeelde informatie;gecodeerde waarde die het klinische concept aanduidt waarop de geregistreerde informatie betrekking heeft
F-038;11;Code;EN;1, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Describes the clinical concept of the shared information;coded value designating the clinical concept to which the recorded information refers
F-039;12;Implantable Device;FR;6, 7, 8;major;revise;dispositif destiné à être introduit en totalité ou en partie dans le corps humain et à y demeurer après l'intervention;;;Reviewer's ruling, superseding the earlier subject-vs-instrument wording: Implantable Device is a TYPE of device (MDR 2017/745 sense), while Used device stays a ROLE. Rests on the new Device entry as its genus. Examples and the reference-to-Device sentence still move to the Description.;Le dispositif médical qui est implanté, retiré ou manipulé d’une autre manière (par ex. calibration, remplacement de batterie, ajustement d’une prothèse, connexion d’un VAC pour plaie, etc.), et qui constitue un élément central de la procédure. Le lien s’effectue via une référence vers une ressource Device.;dispositif médical destiné à demeurer dans le corps du patient, qui est posé, retiré ou modifié au cours de l'acte enregistré
F-040;12;Implantable Device;NL;6, 7, 8;major;revise;;hulpmiddel dat bestemd is om geheel of gedeeltelijk in het menselijk lichaam te worden gebracht en daar na de ingreep te blijven;;Reviewer's ruling, superseding the earlier subject-vs-instrument wording: Implantable Device is a TYPE of device (MDR 2017/745 sense), while Used device stays a ROLE. Rests on the new Device entry as its genus. Examples and the reference-to-Device sentence still move to the Description.;"""Het medisch hulpmiddel dat wordt geïmplanteerd, verwijderd of op een andere manier wordt gemanipuleerd";medisch hulpmiddel dat bestemd is om in het lichaam van de patiënt te blijven en dat tijdens de geregistreerde handeling wordt geplaatst, verwijderd of gewijzigd
F-041;12;Implantable Device;EN;;missing;revise;;;device intended to be introduced wholly or partly into the human body and to remain there after the procedure;Reviewer's ruling, superseding the earlier subject-vs-instrument wording: Implantable Device is a TYPE of device (MDR 2017/745 sense), while Used device stays a ROLE. Rests on the new Device entry as its genus. Examples and the reference-to-Device sentence still move to the Description.;;medical device intended to remain in the patient's body, which is placed, removed or modified during the recorded act
F-042;13;Lot Number;FR;3, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;N° de lot.;identifiant attribué par le fabricant à l'ensemble des unités produites au cours d'un même cycle de fabrication
F-043;13;Lot Number;NL;3, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Lot Nummer;identificatie die de fabrikant toekent aan alle eenheden die in eenzelfde productiecyclus zijn vervaardigd
F-044;13;Lot Number;EN;;missing;accept;;;;"Approved by the reviewer. Fills a language with no entry at all; wording matches the siblings agreed for this term.";;identifier assigned by the manufacturer to all units produced in the same manufacturing cycle
F-045;14;Note;META;5, 7;major;accept;;;;Approved by the reviewer: reworded as a prohibition so the examples illustrate what is forbidden rather than what a note contains.;Une note n'est pas structurée. Il n'y a pas de VS associé. Une note ne contient pas de données sensibles. Ex: Niss du patient, Nom, etc…;Reword as a prohibition carrying its own examples: « Une note ne doit pas contenir de données identifiantes ou sensibles (par ex. NISS du patient, nom, adresse). »
F-046;14;Note;FR;1, 8;minor;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Informations complémentaires relative au contenu du CareSet en format texte libre.;informations complémentaires relatives au contenu du CareSet, exprimées en texte libre
F-047;14;Note;NL;;missing;accept;;;;"Approved by the reviewer. Fills a language with no entry at all; wording matches the siblings agreed for this term.";;aanvullende informatie over de inhoud van de CareSet, uitgedrukt in vrije tekst
F-048;15;Originating Request;FR;3, 8;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;La demande qui est à l'origine de CareSet.;demande de soins ou de prestation dont l'exécution est enregistrée par le CareSet
F-049;15;Originating Request;NL;3, 8;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;De aanvraag die aan de basis ligt van CareSet.;aanvraag voor zorg of verstrekking waarvan de uitvoering door de CareSet wordt geregistreerd
F-050;15;Originating Request;EN;;missing;accept;;;;"Approved by the reviewer. Fills a language with no entry at all; wording matches the siblings agreed for this term.";;request for care or service whose execution is recorded by the CareSet
F-051;16;PartOf;FR;3, 7;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Le CareSet dont ce CareSet fait partie, soit le CareSet parent de ce CareSet. Ex: Une biopsie qui fait partie d'une intervention chirugicale;CareSet englobant dont l'enregistrement courant constitue un composant
F-052;16;PartOf;NL;3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;De CareSet waarvan deze CareSet deel uitmaakt, oftewel de bovenliggende CareSet van deze CareSet.;omvattende CareSet waarvan de huidige registratie een onderdeel vormt
F-053;16;PartOf;EN;3, 7;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;The CareSet of which this CareSet is part, i.e., the parent CareSet of this CareSet. E.g., a biopsy that is part of a surgical intervention;encompassing CareSet of which the current record forms a component
F-054;17;Patient;FR;9;major;revise;La personne qui est l'objet des soins de santé auxquels le CareSet fait référence.;;;Reviewer's wording. Drops the parenthetical gloss and refers to the CareSet directly.;La personne qui est l'objet des soins de santé auxquels l'enregistrement (<CareSet>) fait réference.;personne qui fait l'objet des soins de santé auxquels se rapporte l'enregistrement
F-055;17;Patient;NL;9;minor;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;De persoon op wie de gezondheidszorg betrekking heeft waarnaar de registratie (<CareSet>) verwijst.;persoon op wie de zorg betrekking heeft waarnaar de registratie verwijst
F-056;18;Performer;FR;8, 9;major;revise;personne qui a réalisé l'acte enregistré par le CareSet;;;Reviewer's ruling: the Performer is not necessarily a healthcare professional - self-administration and informal carers are in scope - so the genus widens to 'person' and the professional case moves to the Description as a characteristic.;Le professionnel de la santé qui a <fait l'action en fonction du <CareSet> .;professionnel de la santé qui a réalisé l'acte enregistré par le CareSet
F-057;18;Performer;NL;9;major;revise;;persoon die de door de CareSet geregistreerde handeling heeft uitgevoerd;;Reviewer's ruling: the Performer is not necessarily a healthcare professional - self-administration and informal carers are in scope - so the genus widens to 'person' and the professional case moves to the Description as a characteristic. Supersedes the earlier batched accept on this finding.;De zorgverlener die <de handeling heeft uitgevoerd op basis van de CareSet>;zorgverlener die de door de CareSet geregistreerde handeling heeft uitgevoerd
F-058;18;Performer;EN;7;major;revise;;;person who performed the act recorded by the CareSet;Reviewer's ruling: the Performer is not necessarily a healthcare professional - self-administration and informal carers are in scope - so the genus widens to 'person' and the professional case moves to the Description as a characteristic. Supersedes the earlier batched accept on this finding. The examples still move to the Description.;The healthcare professional who performed the action according to the CareSet (e.g., administered the vaccine, performed the observation, ...);healthcare professional who performed the act recorded by the CareSet
F-059;19;RecordedDate;FR;6, 10;major;revise;date à laquelle l'enregistrement a été saisi par le Recorder;;;Derived from the F-012 ruling that Recorder is the main term: the definition names the Recorder rather than 'l'Author ou le Recorder'. Otherwise the drafted proposal.;Date d'encodage de l'enregistrement par l'Author ou le Recorder.;date à laquelle l'enregistrement a été saisi par l'Author
F-060;19;RecordedDate;NL;6, 9, 10;major;revise;;datum waarop de registratie door de Recorder is ingevoerd;;Derived from the F-012 ruling that Recorder is the main term: the definition names the Recorder rather than 'l'Author ou le Recorder'. Otherwise the drafted proposal.;Datum waarop het record door de Author of de Recorder is ingevoerd;datum waarop de registratie door de Author is ingevoerd
F-061;19;RecordedDate;EN;1, 7;major;revise;;;date on which the record was entered by the Recorder;Derived from the F-012 ruling that Recorder is the main term: the definition names the Recorder rather than 'l'Author ou le Recorder'. Otherwise the drafted proposal.;Recording date by the Author or Recorder (date of last update). Enables CareSet history management via the Business Identifier - RecordedDate pair, which ensures access to the latest version of the content;date on which the record was entered by the Author
F-062;20;Route;FR;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Est la voie d’administration par laquelle un produit est mis en contact avec l’organisme.;voie par laquelle un produit est mis en contact avec l'organisme
F-063;20;Route;NL;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Dit is de toedieningsweg waarmee een product in contact komt met het lichaam.;weg waarlangs een product in contact wordt gebracht met het lichaam
F-064;20;Route;EN;3, 7;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;The route of administration by which a product is brought into contact with the body. See ValueSet VS_Route;path by which a product is brought into contact with the body
F-065;21;Series Number;META;9, 10;major;accept;;;;Approved by the reviewer: rename to Serial Number (code SerialNumber). No GlossaryCode in glossary_mappings.csv points at this item, so nothing downstream breaks.;Series Number;Rename the item to `Serial Number`.
F-066;21;Series Number;FR;3, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;N° de série de l’appareil;identifiant attribué par le fabricant à un exemplaire déterminé d'un dispositif
F-067;21;Series Number;NL;3, 4;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Serienummer van het apparaat;identificatie die de fabrikant toekent aan één welbepaald exemplaar van een hulpmiddel
F-068;21;Series Number;EN;;missing;accept;;;;"Approved by the reviewer. Fills a language with no entry at all; wording matches the siblings agreed for this term.";;identifier assigned by the manufacturer to one individual device
F-069;22;Statut;META;10;major;accept;;;;Approved by the reviewer: rename to Status. glossary_mappings.csv already uses GlossaryCode 'Status' for this concept, so the rename makes the sheet agree with the mappings.;Statut;Rename the item to `Status`.
F-070;22;Statut;FR;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Indique le statut de l’enregistrement, le moment dans le cycle de vie;état de l'enregistrement dans son cycle de vie
F-071;22;Statut;NL;1, 3;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Geeft de status van de registratie aan, het moment in de levenscyclus;toestand van de registratie in haar levenscyclus
F-072;22;Statut;EN;;missing;accept;;;;"Approved by the reviewer. Fills a language with no entry at all; wording matches the siblings agreed for this term.";;state of the record within its lifecycle
F-073;23;Used device;FR;7, 9;major;accept;;;;Reviewer's ruling: instrument of the act, as against Implantable Device which is its subject. The drafted proposal already states exactly that, so taken as is. The exclusion of small standard instruments stays in the Description as a scoping requirement.;Le dispositif médical qui est utilisé pour <CareSet>.;dispositif médical mis en œuvre pour réaliser l'acte enregistré
F-074;23;Used device;NL;9;major;accept;;;;Reviewer's ruling: instrument of the act, as against Implantable Device which is its subject. The drafted proposal already states exactly that, so taken as is. The exclusion of small standard instruments stays in the Description as a scoping requirement.;Het medisch hulpmiddel dat wordt gebruikt voor <CareSet.;medisch hulpmiddel dat wordt ingezet om de geregistreerde handeling uit te voeren
F-075;23;Used device;EN;;missing;accept;;;;Reviewer's ruling: instrument of the act, as against Implantable Device which is its subject. The drafted proposal already states exactly that, so taken as is. The exclusion of small standard instruments stays in the Description as a scoping requirement.;;medical device used to carry out the recorded act
F-076;24;VerificationStatus;META;10;major;accept;;;;Batched by the reviewer as a mechanical fix: the proposal is taken as drafted. Reversible - set this back to pending or reject and re-run the export.;Observation.Code : Tension artérielle (75367002) / Component.Code : 271649006 : Pression artérielle systolique, 271650006 : Pression artérielle diastolique […] Ce composant est uniquement utilisé pour les mesures de la tension artérielle […];Remove it from VerificationStatus and restore it on the Observation-component entry it was written for.
F-077;24;VerificationStatus;META;6;major;accept;;;;Approved by the reviewer: this is a verification status, not a certainty. The Certainty synonym is dropped and F-078/F-079/F-080 take the confirmation wording as drafted.;VerificationStatus — Synonym: Certainty;Drop `Certainty` as a synonym. If a confidence element is genuinely needed, give it its own entry.
F-078;24;VerificationStatus;FR;1, 3;major;accept;;;;Follows the F-077 ruling: verification, not certainty. Proposal taken as drafted.;Indique le niveau de certitude de l'enregistrement;degré de confirmation attribué à l'information enregistrée
F-079;24;VerificationStatus;NL;1, 3, 9;major;accept;;;;Follows the F-077 ruling: verification, not certainty. Proposal taken as drafted.;Geeft de mate van zekerheid van de opname aan;graad van bevestiging van de geregistreerde informatie
F-080;24;VerificationStatus;EN;1, 7;major;accept;;;;Follows the F-077 ruling: verification, not certainty. Proposal taken as drafted.;Indicates the certainty level of the record. E.g., confirmed, suspected, entered-in-error, ...;degree of confirmation assigned to the recorded information
